podstatné jmeno;typ;left;kwic;right;kwic pos;kwic pos2;kwic length
ambice;N-V;Máme ;ambici pozvat do asociace kohokoli a ctít presumpci neviny , ale bude velmi záležet na tom , jak se bude jako člen posléze chovat ;. ;N-V-R-N-P-J-V-N-N-Z-J-V-D-V-R-P-Z-D-P-V-J-N-D-V;N-Vf-RR-NN-PZ-J^-Vf-NN-NN-Z:-J^-VB-Db-Vf-RR-PD-Z:-Db-P7-VB-J,-NN-Db-V;24
ambice;N-V;Možná je na škodu to , že EU je nadnárodním sdružením národních států , které má ;ambice chovat ;se jako jediný stát . ;N-V;N-V;2
ambice;N-V;Nemáme sice tak velké ;ambice jak Baťa , který významnou měrou působil na formování města Zlína , ale je to podle nás ten správný směr , jak by se firma měla chovat ;. ;N-D-N-Z-P-A-N-V-R-N-N-N-Z-J-V-P-R-P-P-A-N-Z-D-V-P-N-V-V;N-Db-NN-Z:-P4-AA-NN-Vp-RR-NN-NN-NN-Z:-J^-VB-PD-RR-PP-PD-AA-NN-Z:-Db-Vc-P7-NN-Vp-V;28
ambice;N-V;Je to kluk , který má pořád ;ambice , je pro ostatní nádherný příklad toho , jak se má profesionál chovat ;. ;N-Z-V-R-A-A-N-P-Z-D-P-V-N-V;N-Z:-VB-RR-AA-AA-NN-PD-Z:-Db-P7-VB-NN-V;14
ambice;N-V;Když lidi kolem vás zjistí , že nemáte ;ambici jít výš a lézt někomu po zádech a chcete upřímně pomoct , chovají ;se k vám úplně jinak . ;N-V-D-J-V-P-R-N-J-V-D-V-Z-V;N-Vf-Dg-J^-Vf-PZ-RR-NN-J^-VB-Dg-Vf-Z:-V;14
ambice;N-V;Mazzucatová ale poněkud pomíjí to , jak často státy mající ;ambice chovat ;se podnikatelsky nakonec sypou peníze do stoupy . ;N-V;N-V;2
ambice;N-V;Klub má ;ambice minimálně na semifinále a hodlá se podle toho chovat ;. ;N-D-R-N-J-V-P-R-P-V;N-Dg-RR-NN-J^-VB-P7-RR-PD-V;10
ambice;N-V;My nemáme ;ambici vytvořit konečný výčet situací a říkat – takto se soudce musí či nesmí chovat ;. ;N-V-A-N-N-J-V-Z-D-P-N-V-J-V-V;N-Vf-AA-NN-NN-J^-Vf-Z:-Db-P7-NN-VB-J^-VB-V;15
ambice;N-V;Pozoruhodný případ , který má ;ambice stanovit meze majitelům domů ( a možná také napovědět , jak se má či nemá chovat ;advokát ) , spěje u Obvodního soudu pro Prahu 4 zvolna do finále . ;N-V-N-N-N-Z-J-T-D-V-Z-D-P-V-J-V-V;N-Vf-NN-NN-NN-Z:-J^-TT-Db-Vf-Z:-Db-P7-VB-J^-VB-V;17
ambice;N-V;Dnes je strana úplně jinde – jeden z jejích představitelů , který má ;ambici vést učitele této země , se chová ;tak , jak by se žádný učitel chovat neměl . ;N-V-N-P-N-Z-P-V;N-Vf-NN-PD-NN-Z:-P7-V;8
ambice;N-V;Přitahují mě muži , kteří mají velké ;ambice a dokáží se chovat ;jako muži . ;N-J-V-P-V;N-J^-VB-P7-V;5
ambice;N-V;V žádném případě nemám ;ambici být kulometčíkem a ostřelovat z opozice za každou cenu , “ popisuje Šťástka , jak se bude ODS , která skončila ve volbách třetí , chovat ;v zastupitelstvu . ;N-V-N-J-V-R-N-R-P-N-Z-Z-V-N-Z-D-P-V-B-Z-P-V-R-N-C-Z-V;N-Vf-NN-J^-Vf-RR-NN-RR-PL-NN-Z:-Z:-VB-NN-Z:-Db-P7-VB-BN-Z:-P4-Vp-RV-NN-Cr-Z:-V;27
ambice;N-V;Pokud máme ;ambice stát se členem Evropské unie , musíme se začít chovat ;jako ostatní členové ( i když jejich reakce nejsou pokaždé racionální , jako v případě sankcí proti Rakousku ) . ;N-V-P-N-A-N-Z-V-P-V-V;N-Vf-P7-NN-AA-NN-Z:-VB-P7-Vf-V;11
ambice;N-V;Boj o osmičku je stále napjatý , přičemž ;ambice na play-off má stále i desátý Třinec a teoretickou naději chovají ;také Plzeňští na jedenácté příčce . ;N-R-N-V-D-J-C-N-J-A-N-V;N-RR-NN-VB-Dg-J^-Cr-NN-J^-AA-NN-V;12
ambice;N-V;Možná by nám to připadalo jako velký úspěch – dokud se nezeptáme , zda tento zákrok vymýtí také závist , žárlivost , pohrdání a ;ambice , nebo dokonce spravedlivost – zkrátka vlastnosti , kvůli kterým se někdy chováme ;k některým lidem méně laskavě než k jiným . ;N-Z-J-T-N-Z-T-N-Z-R-P-P-D-V;N-Z:-J^-TT-NN-Z:-TT-NN-Z:-RR-P4-P7-Db-V;14
ambice;N-V;Na muže , který má ;ambice stát po boku lidra strany , se ovšem choval ;"příliš skromně ; mimo jiné řekl , že jestli zvolen bude či nebude není osudové ani pro něho , ani pro ODS . ";N-V-R-N-X-N-Z-P-T-V;N-Vf-RR-NN-X@-NN-Z:-P7-TT-V;10
